platform,post_type,post_length,views,likes,comments,shares,engagement_rate,length category,total_interactions
Facebook,Text,62,91660,2968,276,346,0.0391664848352607,Medium,3590
Instagram,Video,104,113115,4164,632,406,0.0459885956769659,Long,5202
Facebook,Video,46,36043,3125,188,100,0.0946924506839053,Medium,3413
Facebook,Image,39,124886,5970,948,578,0.0600227407395544,Short,7496
Instagram,Video,42,82831,8212,1104,334,0.1165022757180282,Medium,9650
Instagram,Video,71,221855,5252,459,775,0.0292353113520091,Medium,6486
Facebook,Text,45,69250,3580,530,192,0.0621227436823104,Medium,4302
Twitter,Video,103,171894,13050,917,1441,0.0896366365318161,Long,15408
Facebook,Text,54,193496,2028,202,213,0.0126255839914003,Medium,2443
Facebook,Video,108,69345,1641,180,180,0.0288557213930348,Long,2001
Facebook,Video,90,186950,2212,368,167,0.0146937683872693,Long,2747
Facebook,Video,76,199035,19775,1904,586,0.111864747406235,Medium,22265
Instagram,Image,83,247591,19425,1114,2863,0.0945187829929197,Long,23402
Facebook,Text,49,88898,3877,298,174,0.0489212355733537,Medium,4349
Twitter,Image,75,133108,3203,452,384,0.0303437809898728,Medium,4039
Instagram,Video,23,95034,1723,90,65,0.0197613485699854,Short,1878
Twitter,Image,108,95923,5551,937,313,0.0709006182041846,Long,6801
Twitter,Text,110,12273,1200,222,111,0.1249083353703251,Long,1533
Twitter,Video,21,158102,11180,1389,824,0.0847111358490088,Short,13393
Twitter,Image,69,129419,5547,866,801,0.0557414290019239,Medium,7214
Instagram,Image,113,57460,3164,377,411,0.0687782805429864,Long,3952
Instagram,Text,97,266940,26667,2568,3728,0.12348467820484,Long,32963
Twitter,Image,81,78939,4474,334,462,0.0667604099367866,Long,5270
Twitter,Text,60,152111,14721,1880,713,0.1138247726988843,Medium,17314
Instagram,Video,116,19017,218,41,19,0.0146184992375243,Long,278
Instagram,Video,97,87901,6582,1207,786,0.0975529288631528,Long,8575
Instagram,Image,45,118000,7840,1473,222,0.0808050847457627,Medium,9535
Facebook,Video,46,42215,3025,589,399,0.0950609972758498,Medium,4013
Facebook,Video,10,15583,956,71,97,0.0721298851312327,Short,1124
Facebook,Image,73,166991,2333,167,266,0.0165637669095939,Medium,2766
Twitter,Video,102,49025,1150,131,126,0.0286996430392656,Long,1407
Facebook,Image,79,178326,16584,2543,2159,0.1193656561578233,Medium,21286
